start_index,end_index,precision,recall,fScore,gt_inst_count,pred_inst_count,pred_total_inst_count
0,4,0.0,0.0,0.0,1,0,7
4,8,0.0,0.0,0.0,1,1,6
8,12,0.0,0.0,0.0,2,0,3
12,16,0.5,0.5,0.5,2,2,5
16,20,1.0,0.3333333333333333,0.5,3,1,3
20,24,1.0,0.25,0.4,4,1,4
24,28,1.0,0.3333333333333333,0.5,3,1,7
28,32,0.5,0.4,0.4444444444444445,5,4,9
32,36,0.0,0.0,0.0,3,1,3
36,40,0.0,0.0,0.0,3,0,7
40,44,0.0,0.0,0.0,1,0,1
44,48,0.0,0.0,0.0,2,0,2
48,52,0.5,0.25,0.3333333333333333,4,2,11
52,56,0.3333333333333333,0.25,0.28571428571428575,4,3,7
56,60,1.0,0.16666666666666666,0.2857142857142857,6,1,4
60,64,0.0,0.0,0.0,5,0,2
64,68,0.0,0.0,0.0,5,1,6
68,72,0.0,0.0,0.0,6,0,2
72,76,0.5,0.2,0.28571428571428575,5,2,8
76,80,0.0,0.0,0.0,3,0,1
80,84,1.0,0.25,0.4,4,1,6
84,88,1.0,0.3333333333333333,0.5,3,1,2
88,92,0.0,0.0,0.0,1,0,1
92,96,0.0,0.0,0.0,3,1,1
96,100,0.0,0.0,0.0,5,2,9
100,104,1.0,0.5,0.6666666666666666,6,3,12
104,108,0.0,0.0,0.0,5,0,15
108,112,0.04,0.14285714285714285,0.0625,7,25,124
112,116,0.0,0.0,0.0,4,0,7
116,120,0.0,0.0,0.0,3,0,7
120,124,1.0,0.25,0.4,4,1,17
124,128,1.0,0.2,0.33333333333333337,5,1,16
128,132,0.0,0.0,0.0,5,0,12
132,136,0.0,0.0,0.0,3,0,9
136,140,0.0,0.0,0.0,2,0,10
140,144,0.0,0.0,0.0,2,0,7
144,148,0.0,0.0,0.0,1,1,2
148,152,0.0,0.0,0.0,1,0,5
152,156,0.0,0.0,0.0,1,0,1
156,160,0.0,0.0,0.0,3,0,6
160,164,0.0,0.0,0.0,3,0,3
164,168,0.0,0.0,0.0,3,0,9
168,172,0.0,0.0,0.0,3,1,7
172,176,0.0,0.0,0.0,2,1,13
176,180,1.0,0.5,0.6666666666666666,4,2,8
180,184,0.0,0.0,0.0,2,1,3
184,188,0.0,0.0,0.0,2,0,3
188,192,0.0,0.0,0.0,2,0,4
192,196,1.0,0.25,0.4,4,1,10
196,200,0.0,0.0,0.0,4,0,28
200,204,0.0,0.0,0.0,3,0,21
204,208,0.0,0.0,0.0,4,2,31
208,212,0.0,0.0,0.0,3,0,3
212,216,0.0,0.0,0.0,3,0,6
216,220,0.0,0.0,0.0,2,0,1
220,224,0.0,0.0,0.0,3,0,1
224,228,0.0,0.0,0.0,3,0,4
228,232,0.0,0.0,0.0,3,0,4
232,236,0.0,0.0,0.0,3,0,5
236,240,0.0,0.0,0.0,3,0,4
240,244,0.0,0.0,0.0,3,0,1
244,248,0.0,0.0,0.0,2,0,2
248,252,0.0,0.0,0.0,1,0,6
252,256,0.0,0.0,0.0,2,1,4
256,260,0.0,0.0,0.0,1,0,3
260,264,0.0,0.0,0.0,2,0,2
264,268,0.0,0.0,0.0,2,0,1
268,272,0.0,0.0,0.0,4,0,3
272,276,1.0,0.25,0.4,4,1,1
276,280,0.0,0.0,0.0,3,0,4
280,284,1.0,0.3333333333333333,0.5,3,1,3
284,288,0.0,0.0,0.0,2,0,6
288,292,0.0,0.0,0.0,3,1,6
292,296,0.0,0.0,0.0,2,0,1
296,300,0.0,0.0,0.0,3,1,4
300,304,0.3333333333333333,0.25,0.28571428571428575,4,3,10
304,308,0.6666666666666666,0.5,0.5714285714285715,4,3,5
308,312,0.0,0.0,0.0,4,0,5
312,316,0.0,0.0,0.0,4,1,6
316,320,0.0,0.0,0.0,2,0,5
320,324,0.0,0.0,0.0,1,0,3
324,328,1.0,0.5,0.6666666666666666,2,1,3
328,332,0.0,0.0,0.0,3,0,1
332,336,0.08333333333333333,0.5,0.14285714285714285,2,12,131
336,340,0.0,0.0,0.0,3,0,2
340,344,0.0,0.0,0.0,3,0,2
344,348,0.0,0.0,0.0,3,0,3
348,352,0.5,0.25,0.3333333333333333,4,2,4
352,356,0.0,0.0,0.0,2,1,1
356,360,0.0,0.0,0.0,2,1,1
360,364,0.0,0.0,0.0,2,1,5
364,368,0.0,0.0,0.0,2,0,5
368,372,0.0,0.0,0.0,2,0,4
372,376,0.0,0.0,0.0,1,0,2
376,380,0.0,0.0,0.0,2,0,5
380,384,0.0,0.0,0.0,2,0,6
384,388,1.0,0.5,0.6666666666666666,2,1,5
388,392,0.0,0.0,0.0,1,0,2
392,396,0.0,0.0,0.0,1,0,3
396,400,1.0,0.3333333333333333,0.5,3,1,5
400,404,1.0,1.0,1.0,1,1,1
412,416,0.0,0.0,0.0,2,0,1
416,420,0.0,0.0,0.0,2,0,4
